LINE_NO,LATITUDE,LONGITUDE,DATETIME,ELEVATION,Collar_ID,TEMP
123,38.9912501,-104.8896313,40568.00,2186.78,2925,-7
124,38.9899955,-104.8928399,40568.25,2190.42,2925,-5
125,38.9842691,-104.8838797,40568.50,2128.92,2925,11
126,38.9910867,-104.8832591,40568.75,2145.62,2925,2
129,38.9906472,-104.8802678,40569.50,2143.94,2925,12
130,38.9855984,-104.8866814,40569.75,2119.78,2925,0
131,38.988367,-104.887871,40570.00,2115.04,2925,3
133,38.9841396,-104.8909653,40570.50,2119.66,2925,13
134,38.9842298,-104.8839295,40570.75,2129.54,2925,7
135,38.982646,-104.8846196,40571.00,2143.41,2925,4
136,38.9897637,-104.8807173,40571.25,2136.41,2925,7
137,38.9842756,-104.8775891,40571.50,2104.19,2925,17
138,38.9845397,-104.8809572,40571.75,2117.23,2925,10
139,38.9830248,-104.8847842,40572.00,2118.44,2925,3
140,38.9817671,-104.8853217,40572.25,2130.49,2925,11
141,38.9886232,-104.8890238,40572.50,2140.29,2925,21
142,38.9903583,-104.8865806,40572.75,2169.26,2925,4
143,38.9859769,-104.8875191,40573.00,2167.99,2925,-1
144,38.985999,-104.8875434,40573.25,2134.75,2925,3
145,38.9891732,-104.8888488,40573.50,2137.95,2925,11
146,38.9891145,-104.8941894,40573.75,2211.16,2925,1
148,38.9857281,-104.8805015,40574.25,2114.7,2925,-1
150,38.9946744,-104.8730145,40574.75,2112.78,2925,-10
151,38.9943615,-104.8734169,40575.00,2111.2,2925,-13
152,38.993432,-104.8736814,40575.25,2102.03,2925,-19
153,38.9946544,-104.8722561,40575.50,2088.52,2925,-11
154,38.9935136,-104.8739198,40575.75,2084.48,2925,-19
155,38.9930763,-104.8762778,40576.00,2077.72,2925,-17
156,38.9918645,-104.8791961,40576.25,2081.84,2925,-10
157,38.9844626,-104.8807842,40576.50,2127.8,2925,-4
158,38.9822308,-104.8701958,40576.75,2152.69,2925,-15
159,38.9837079,-104.8744878,40577.00,2142.34,2925,-10
160,38.9843653,-104.8748201,40577.25,2122.08,2925,-6
161,38.988203,-104.8818019,40577.50,2112.11,2925,3
162,38.9910106,-104.8826554,40577.75,2111.57,2925,-1
163,38.9888557,-104.8845462,40578.00,2116.33,2925,0
164,38.9907665,-104.885509,40578.25,2119.62,2925,0
165,38.9901141,-104.8857896,40578.50,2118.53,2925,8
166,38.990437,-104.8844361,40578.75,2139.4,2925,3
167,38.9909152,-104.8904175,40579.00,2137.37,2925,0
168,38.9880766,-104.8810975,40579.25,2135.8,2925,6
170,38.9880472,-104.8864176,40579.75,2135.07,2925,0
172,38.9892752,-104.8831175,40580.25,2122.35,2925,-3
173,38.9923054,-104.8776476,40580.50,2084.93,2925,2
174,38.9935272,-104.8762576,40580.75,2101.69,2925,-3
175,38.9845663,-104.8824182,40581.00,2097.68,2925,-11
176,38.9814731,-104.8852413,40581.25,2097.7,2925,-5
177,38.9782204,-104.8808008,40581.50,2160.97,2925,8
178,38.9889657,-104.8880315,40581.75,2161.64,2925,1
179,38.987888,-104.8819789,40582.00,2099.7,2925,-4
180,38.9911695,-104.8778089,40582.25,2075.46,2925,-10
181,38.9918166,-104.879669,40582.50,2099.54,2925,-8
182,38.9906652,-104.8833424,40582.75,2112.86,2925,-11
183,38.9901308,-104.8861049,40583.00,2148.02,2925,-13
184,38.989829,-104.8877464,40583.25,2173.54,2925,-13
185,38.9880495,-104.8863398,40583.50,2172.9,2925,-3
186,38.9801712,-104.886243,40583.75,2171.45,2925,-10
187,38.984466,-104.8821987,40584.00,2160.71,2925,-5
188,38.979748,-104.8862447,40584.25,2162.75,2925,-7
190,38.989561,-104.8883879,40584.75,2165.8,2925,-4
191,38.9892498,-104.8878707,40585.00,2154.45,2925,-3
192,38.9887156,-104.884719,40585.25,2151.45,2925,-1
193,38.9901852,-104.8842215,40585.50,2151.68,2925,9
194,38.989163,-104.8904092,40585.75,2188.62,2925,0
195,38.9940652,-104.8915763,40586.00,2189.99,2925,3
196,38.9859298,-104.8899703,40586.25,2187.17,2925,5
197,38.986226,-104.8902926,40586.50,2168.77,2925,13
198,38.9896497,-104.8934919,40586.75,2201.31,2925,4
199,38.9896031,-104.8948886,40587.00,2217.24,2925,5
200,38.9966896,-104.8871686,40587.25,2211.42,2925,5
201,38.9891496,-104.8850426,40587.50,2134.83,2925,20
202,38.9861868,-104.8871508,40587.75,2136.01,2925,8
203,38.9899594,-104.892898,40588.00,2212.86,2925,1
204,38.9890841,-104.8921069,40588.25,2210.57,2925,3
205,38.9888078,-104.8910524,40588.50,2202.38,2925,14
206,38.9896486,-104.8929427,40588.75,2206.22,2925,2
207,38.9900196,-104.8931076,40589.00,2220.5,2925,4
209,38.9837054,-104.8867762,40589.50,2225.34,2925,19
